UKATEGORIE;UART;ULICHTVERH;XGCSWGS84;YGCSWGS84;STRZUSTAND;GEN_K
"2";"2";"2";6.98781344100;51.44157515500;"1";Essen
"3";"5";"0";7.83905404900;51.23486846700;"0";Märkischer Kreis
"3";"5";"0";7.76819658700;51.66549478500;"0";Hamm
"3";"5";"0";7.39916277300;51.34010386100;"0";Hagen
"3";"5";"0";8.66022858200;51.81829577500;"1";Paderborn
"3";"5";"2";6.87976980600;50.83518998300;"1";Rhein-Erft-Kreis
"3";"5";"0";8.55970153600;51.72844707100;"0";Paderborn
"3";"5";"0";8.75936961700;52.28860194500;"0";Minden-Lübbecke
"3";"3";"0";7.17167132600;50.73396536200;"0";Bonn
"3";"5";"0";7.08587774900;50.74538040100;"1";Bonn
"3";"0";"2";8.60507834300;51.67203303200;"0";Paderborn
"3";"5";"0";7.52095816800;51.52093939000;"0";Dortmund
"2";"9";"2";8.11569359600;52.01706177800;"0";Gütersloh
"3";"5";"2";7.01443308500;51.94987334100;"1";Borken
"3";"0";"0";7.52802338700;51.61802524200;"0";Unna
"3";"2";"2";6.60614168100;51.83919096200;"1";Borken
"3";"4";"0";7.43887796200;51.51264100500;"0";Dortmund
"3";"6";"1";8.35634779300;51.90300196500;"0";Gütersloh
"3";"5";"0";7.58881353400;51.96527946800;"1";Münster
"3";"9";"1";8.38950928300;51.75661179600;"0";Gütersloh
"3";"0";"0";7.65846324500;51.96733128700;"1";Münster
"2";"8";"0";8.96863273200;52.03100725000;"1";Lippe
"3";"5";"2";6.91060093100;50.83045011200;"1";Rhein-Erft-Kreis
"3";"5";"0";6.85067550500;51.47805653900;"0";Oberhausen
"3";"5";"2";8.76245567800;51.92217216200;"1";Lippe
"3";"5";"2";7.01450574000;50.75626946400;"1";Rhein-Sieg-Kreis
"3";"3";"0";7.32569253600;50.87209625600;"0";Rhein-Sieg-Kreis
"3";"5";"2";8.54834666000;52.00663384600;"1";Bielefeld
"2";"5";"2";7.33370194700;52.15220298100;"1";Steinfurt
"2";"0";"2";7.39379535600;52.12168146300;"1";Steinfurt
"3";"5";"1";6.64785875400;51.34830209500;"1";Krefeld
"3";"0";"2";6.05249862600;50.79935483900;"1";Städteregion Aachen
"2";"0";"0";7.81957919200;51.68451008100;"0";Hamm
"3";"2";"2";6.69277259100;51.84672406700;"0";Borken
"3";"1";"1";7.52862269300;51.61820173700;"1";Unna
"2";"8";"2";7.31466428300;51.56891728500;"0";Recklinghausen
"3";"6";"2";6.75788754600;51.43621488100;"1";Duisburg
"3";"5";"1";7.32425375800;51.61845684400;"0";Recklinghausen
"3";"5";"2";6.92760459200;50.92899779800;"0";Köln
"2";"8";"2";6.42015946400;51.52723727100;"1";Kleve
"3";"5";"0";7.14320378700;51.61616073300;"1";Recklinghausen
"3";"5";"0";6.60457187700;51.32289445500;"1";Krefeld
"3";"5";"0";6.16801240300;50.87396953900;"0";Städteregion Aachen
"3";"5";"2";7.62628571100;52.26064641100;"1";Steinfurt
"3";"8";"2";7.13099409800;50.79984903400;"0";Rhein-Sieg-Kreis
"3";"5";"0";6.77603032800;51.40721754700;"1";Duisburg
"3";"5";"0";6.26591419100;51.25057017600;"0";Viersen
"2";"5";"0";9.01484163400;52.19927084700;"1";Minden-Lübbecke
"3";"0";"1";6.91611381400;51.99419618300;"1";Borken
"3";"0";"0";7.14340506600;51.42735408300;"0";Bochum
"3";"3";"2";7.24458538200;51.45452351600;"1";Bochum
"3";"0";"0";6.44577554600;51.17803048000;"1";Mönchengladbach
"3";"0";"2";7.03302349700;51.03985213500;"0";Leverkusen
"3";"5";"0";7.18651410800;51.60422231900;"1";Recklinghausen
"2";"5";"2";6.88734541000;50.87727425700;"1";Rhein-Erft-Kreis
"3";"0";"1";7.05654222700;51.02435580300;"0";Leverkusen
"3";"3";"2";6.95408708200;50.96281329300;"0";Köln
"3";"0";"2";8.38728210900;51.75934248600;"1";Gütersloh
"2";"5";"0";7.60528831200;51.92737862200;"1";Münster
"3";"4";"0";6.90055861700;50.95757353600;"0";Köln
"3";"5";"0";6.18375279500;51.07128752300;"0";Heinsberg
"3";"6";"2";6.92082875300;50.91410059700;"0";Köln
"3";"5";"1";6.61382866300;51.23035351300;"1";Rhein-Kreis Neuss
"3";"5";"0";6.93748049100;50.93648961300;"0";Köln
"2";"0";"0";8.82347161800;51.83768022500;"2";Lippe
"3";"5";"2";6.97803909800;51.44099261100;"1";Essen
"3";"5";"0";6.95279814900;51.49023410500;"0";Essen
"3";"5";"0";5.99219833200;51.79401876200;"1";Kleve
"3";"3";"0";6.11217286400;50.95777458800;"1";Heinsberg
"3";"5";"0";6.96037557100;50.93540895200;"1";Köln
"3";"0";"2";6.11365668500;50.77188746100;"0";Städteregion Aachen
"3";"0";"0";6.85183712200;51.33604546100;"0";Mettmann
"3";"6";"2";6.80865046900;51.23187550900;"1";Düsseldorf
"3";"0";"0";8.52353175700;52.03680096600;"1";Bielefeld
"2";"0";"2";7.59941475300;51.81460405400;"0";Coesfeld
"3";"5";"1";7.45137511700;51.77144539900;"1";Coesfeld
"3";"0";"0";6.86078771000;51.22856370300;"0";Düsseldorf
"3";"5";"0";6.68874873100;50.89070813500;"1";Rhein-Erft-Kreis
"3";"5";"1";6.35822622300;51.52451534100;"1";Kleve
"3";"0";"0";6.41026483900;51.12825133700;"0";Mönchengladbach
"3";"0";"0";7.57511290300;51.42422519600;"1";Unna
"3";"0";"0";6.94706919500;50.92629838300;"1";Köln
"3";"0";"1";6.88017768600;51.53483851600;"0";Oberhausen
"3";"0";"0";7.08977345300;50.74366610600;"1";Bonn
"3";"5";"1";8.08360313900;51.40415928400;"1";Hochsauerlandkreis
"3";"0";"2";6.67977637200;51.19694398100;"1";Rhein-Kreis Neuss
